id,email,phone_code,phone_number,first_name,last_name,slug,organization,type,industry,location,address,num_of_employees,role,linkedin,twitter,personal_website,experiences,awards,certifications,education_level,promotion_channels,cost_cutting_priorities,interests,availability,capabilities,opportunities,business_goals,notes
P001N,lisapatel@example.com,250,001-522-432-8243x1410,Tina,Woodard,tina-woodard,Group 424,policy_makers,Leisure And Travel,"Rwanda, Western Province","[None, None]",164,Consultant,https://www.koch.com/,http://www.hall-henderson.com/,http://brock.com/,Medicine,Excellence in Analytics for Customer Experience,Certified Ethical Hacker (CEH),PhD in Geology,Press Conferences,Perform Internal Financial Audits,Corporate Communications,"{'days': ['Saturday', 'Friday', 'Wednesday', 'Monday']}","Serv100,Pro215,Pro115","OPR090,OPR083,OPR059,OPR099,OPR091",Reach International Markets,"[""Trip well of themselves.""]"
P002V,lisa29@example.org,44,(498)249-9037x982,Robert,Hamilton,robert-hamilton,Ltd 893,service_providers,Vocational Training,"United Kingdom, Herefordshire","['52.07651640', '-2.65441820']",188,Manager,http://www.padilla.biz/,http://www.webster.com/,https://schneider.biz/,Electronics Engineering,Best Data Engineering Practices,Banking Professional,PhD in Culinary Arts,Online Display Advertising,Optimize Ground Transportation,Renewable Energy,"{'days': ['Thursday', 'Sunday', 'Tuesday', 'Friday', 'Monday']}","Serv088,Pro363","OPR013,OPR075,OPR039",Develop Comprehensive Loyalty Programs,"[""Stage president help detail.""]"
P003X,mlopez@example.net,886,+1-604-805-2364x122,Jerry,Thomas,jerry-thomas,Group 248,non_profit,Sound Recording Industries,"Taiwan, Taoyuan","['24.99362810', '121.30097980']",103,Manager,http://www.russell.com/,https://owens.com/,https://stevens.com/,Education Technology,Best Data Privacy and Security Practices,Researcher,MS in Social Work,Outbound Calls,Reduce Inventory Purchases,Social Media Strategy,"{'days': ['Thursday', 'Monday', 'Saturday', 'Friday', 'Wednesday']}",Pro221,"OPR020,OPR053,OPR070,OPR051",Implement Health and Wellness Programs,"[""Call reduce story worry group spring.""]"
P004O,kingtammie@example.com,975,(260)548-8618x72722,Brandon,Fields,brandon-fields,LLC 461,service_providers,Loan Brokers,"Bhutan, Trashigang District","['27.25667950', '91.75388170']",483,Consultant,https://williams.biz/,http://www.walters.net/,https://mccoy-bradley.com/,Virology,Top Achievement in Data Science Implementation,Genetics Specialist,MS in Physics,Media Kits,Optimize Branding Partnerships,Media Relations,"{'days': ['Tuesday', 'Friday', 'Sunday']}","Serv074,Pro053,Serv090,Serv248,Serv368","OPR108,OPR018,OPR057,OPR032,OPR053",Achieve Sustained Profitability,"[""Gas fine hot politics."", ""Parent find recent story herself stuff.""]"
P005I,sarah04@example.net,685,001-234-924-9835x817,Edwin,Fuller,edwin-fuller,Group 125,academics,Data Security Software Products,"Samoa, Satupa'itea","['-13.65382140', '-172.61592710']",99,Director,http://www.lopez.org/,http://www.hinton.info/,https://www.johnston.com/,Automotive Design,Top Achievement in Data Management,Marketing Professional,High School Certificate,eBay,Reduce Corporate Retreats,Support Strategies,"{'days': ['Saturday', 'Wednesday', 'Thursday', 'Monday', 'Sunday', 'Friday', 'Tuesday']}","Serv026,Serv060,Pro045,Serv292","OPR087,OPR053,OPR011,OPR057,OPR049",Achieve Certifications and Accreditations,"[""Find our price performance thousand bring."", ""Figure member language leg compare special.""]"
P006M,matthew89@example.org,597,7006788660,Sarah,Coffey,sarah-coffey,PLC 553,investors,Equipment,"Suriname, Commewijne District","['5.74021100', '-54.87312190']",147,Consultant,http://www.gomez.net/,https://moreno.org/,http://swanson.net/,User Experience (UX),User Behavior Prediction Excellence,ISO 9001 (Quality Management),BS in Communications,Twitter,Optimize Warranty Services,Service Quality,"{'days': ['Friday', 'Monday', 'Saturday', 'Wednesday']}","Serv070,Serv042",OPR120,Lead Industry Forums and Discussions,"[""Manage talk energy peace rich."", ""Training gas market your window arrive compare.""]"
P007L,jessica37@example.net,353,+1-391-996-0889x362,Maria,Mcpherson,maria-mcpherson,Group 688,policy_makers,Medical Care,"Ireland, Offaly","['53.23568710', '-7.71222290']",440,Assistant,http://taylor.info/,https://donovan.biz/,http://www.clark.info/,Real Estate,Outstanding Contribution to Data Integration Solutions,Legal Consultant,MS in Theatre,Customer Testimonials,Use Cost-Effective Support Software and Tools,Certification Programs,"{'days': ['Saturday', 'Monday', 'Sunday', 'Friday', 'Wednesday', 'Tuesday', 'Thursday']}","Serv014,Serv100","OPR091,OPR078",Increase Digital Marketing ROI,"[""Level question woman successful.""]"
P008I,twhite@example.net,503,+1-309-242-0168x642,Tanya,Cardenas,tanya-cardenas,Group 543,non_profit,Food and Beverage,"El Salvador, La Paz Department","[None, None]",29,Manager,http://chapman-clark.com/,https://www.sims.com/,http://williams.net/,Renewable Energy,Best Data Analytics for Financial Insights,Real Estate Specialist,MS in Public Health,Internal Newsletters,Streamline Customer Feedback Programs,Client Relationship Management,"{'days': ['Wednesday', 'Friday', 'Sunday', 'Thursday']}","Pro241,Serv346,Serv214","OPR046,OPR031,OPR058,OPR018,OPR047",Expand into Adjacent Market Segments,"[""Course skill system its."", ""Information least light four.""]"
P009L,ljones@example.com,98,+1-841-210-4434x76773,Zachary,Blair,zachary-blair,PLC 365,non_profit,Metal Working Machinery Manufacturing,"Iran, Khuzestan","['31.43601490', '49.04131200']",11,Manager,http://webb.info/,https://wells.com/,http://www.walker-thompson.com/,Agriculture,Outstanding Achievement in Analytics Tools Innovation,SHRM-SCP (SHRM Senior Certified Professional),Associate Degree in Business Administration,Email Marketing,Use Cost-Effective Support Software and Tools,Logistics Management,"{'days': ['Wednesday', 'Friday', 'Thursday']}","Pro155,Serv112,Pro141,Serv350","OPR051,OPR097,OPR080,OPR055,OPR115",Increase Return on Investment (ROI),"[""Who rise player.""]"
P010H,david29@example.com,291,633.495.7755x075,Kurt,Rocha,kurt-rocha,LLC 446,non_profit,Motion Pictures and Film,"Eritrea, Southern Red Sea Region","['13.51371030', '41.76064720']",30,Assistant,https://www.briggs.com/,https://www.young.com/,http://www.schmidt.org/,Sales,Exceptional Data Analytics Platform,Certified Quality Engineer (CQE),MS in Marketing,Social Media,Optimize Treasury Services,Brand Management,"{'days': ['Thursday', 'Saturday', 'Sunday', 'Friday', 'Monday', 'Tuesday']}","Pro165,Serv076","OPR025,OPR009,OPR086",Attract Top Industry Talent,"[""Show cell boy.""]"
