id,user,bio,slug,gender,image,date_of_birth,address,location,linkedin,twitter,personal_website,phone_code,phone_number,industry,position,experiences,interests,education_level,department,availability,awards,certifications,capabilities,opportunities,completion_status,last_login,created_at,updated_at
U001F,1261,Sometimes blue strategy understand color.,nacb/profile/scottnicole,Male,https://placekitten.com/330/243,2002-01-09,"['58.52619520', '24.40201590']","Estonia, Pärnu County",http://molina.com/,http://www.johnson.com/,http://www.walton.com/,372,8642306561,Movies and Sound Recording,Legislative Analyst,"['Hospitality', 'Customer Service']","['Cannabis Clinical Trials', 'Cannabis Market Analysis', 'Cannabis Community Outreach']",Associate Degree in Biology,Retail,False,['Excellence in Data Management Solutions'],"['Six Sigma Green Belt', 'Certified Information Privacy Professional (CIPP)']","Serv158,Pro251,Pro075","OPR058,OPR050,OPR114,OPR079,OPR049",Completed,2024-05-02 10:55:07,2020-04-03 01:32:08,2023-10-22 08:58:57
U002W,1132,Which sing life fight.,nacb/profile/wcastillo,Female,https://dummyimage.com/300x273,1972-09-25,"['45.20143750', '9.98365820']","Italy, Cremona",http://greer.info/,http://green.com/,https://www.george-martin.com/,39,9735074833,Blogs,Process Engineer,"['Ethics', 'Aviation', 'Advertising']","['Cannabis Regulatory Compliance', 'Cannabis Distribution Networks', 'Cannabis Distribution Networks', 'Cannabis Trends']",MS in Graphic Design,Information Security,True,['Top Data Science Innovation'],[],"Serv254,Pro321,Serv022,Serv268,Serv216","OPR081,OPR043,OPR024,OPR020",Completed,2024-04-07 16:13:48,2022-09-19 09:32:45,2024-10-21 07:50:36
U003D,763,Will several including party task anything.,nacb/profile/susanhayes,Female,https://picsum.photos/630/711,1964-09-07,"['-13.30000000', '-176.20000000']",Wallis and Futuna Islands,http://shaw.com/,http://mitchell-rodriguez.com/,https://www.ray.com/,681,7254838560,Public Relations and Communications,Greenhouse Manager,"['Healthcare', 'Education', 'Food Science']","['Cannabis Education Programs', 'Cannabis Taxation', 'Cannabis Education', 'Cannabis Industry Certifications', 'Cannabis Security and Safety', 'Cannabis Sustainability', 'Cannabis Sustainability']",PhD in Geology,IT Management,False,"['Top Performance in Data Privacy Solutions', 'Excellence in Analytics for Customer Experience', 'Exceptional Performance in Data Analytics Integration']",['Labor Market Analyst'],"Pro185,Serv262,Pro109,Serv192,Pro107","OPR021,OPR035",Completed,2024-07-19 21:09:31,2023-01-14 18:30:35,2023-03-21 06:01:20
U004B,1974,Shoulder lose other enjoy see player own.,nacb/profile/ybryan,Male,https://placekitten.com/349/121,1945-05-02,"['54.10678890', '27.41292450']","Belarus, Minsk Region",http://www.nixon-berry.biz/,https://henderson-phillips.org/,http://nelson.biz/,375,5457942578,Integrated Freight and Logistics,Certified Public Accountant (CPA),"['Consulting', 'Automotive Design']","['Cannabis Intellectual Property', 'Cannabis Waste Management', 'Cannabis Soil and Nutrients', 'Cannabis Testing and Quality Control', 'Medical Cannabis', 'Cannabis Drug Interactions', 'Cannabis Clinical Trials', 'Cannabis Branding', 'Cannabis Branding']",BS in Botany,Product Development,True,"['Outstanding Achievement in Predictive Modeling', 'Best Use of AI in Data Privacy']","['Real Estate Specialist', 'ISO 9001 (Quality Management)', 'SHRM-SCP (SHRM Senior Certified Professional)']","Serv202,Pro105,Pro333,Pro205",OPR088,Completed,2024-06-03 16:24:38,2024-05-27 14:15:40,2024-11-23 23:13:26
U005N,3569,Phone similar painting.,nacb/profile/mark44,Male,https://picsum.photos/299/790,1987-04-10,"['-31.25321830', '146.92109900']","Australia, New South Wales",http://suarez-brooks.com/,https://www.romero.net/,https://bailey-smith.com/,61,9107947491,Security and Commodity Brokerage,HR Business Partner,"['Management', 'Psychology', 'Teaching']","['Cannabis Legalization', 'Cannabis Pest Management', 'Cannabis Compliance', 'Cannabis Taxation', 'Cannabis Investment']",BS in Art,Customer Operations,True,[],"['Dispensary Technician', 'Customer Service Representative', 'Legal Consultant']","Pro151,Pro081,Pro233,Pro351,Serv264","OPR034,OPR046,OPR004",Not Started,2024-07-19 17:20:39,2020-06-10 10:06:24,2024-02-27 18:28:49
U006N,3942,Yeah evening whatever federal task feeling summer.,nacb/profile/paul63,Other,https://picsum.photos/775/351,2002-07-18,"['8.65958330', '-81.77870210']","Panama, Ngöbe-Buglé Comarca",https://www.myers.com/,http://curtis-brown.org/,https://grant.info/,507,2996296904,Semiconductors,Recruitment Specialist,"['Pharmaceutical', 'Public Health']",['Cannabis Compliance'],Associate Degree in Mathematics,Operations,False,[],[],"Serv344,Pro167,Pro061,Pro295,Pro311","OPR078,OPR005,OPR048,OPR085,OPR118",Completed,2024-03-03 09:03:11,2024-01-11 23:18:04,2024-01-13 10:26:40
U007J,1234,All authority data list eight.,nacb/profile/jonessteven,Male,https://picsum.photos/630/619,1951-12-19,"['45.79662550', '14.39217700']","Slovenia, Cerknica Municipality",http://www.arroyo.com/,https://www.hill.com/,http://french.com/,386,5325735727,Cleaning,Greenhouse Manager,"['Nanotechnology', 'Management']","['Cannabis International Markets', 'Cannabis Social Responsibility', 'Cannabis Dispensary Operations', 'Cannabis Clinical Trials', 'Cannabis Extraction Methods', 'Cannabis Industry Certifications']",PhD in Psychology,Analytics,True,['Best Data Analytics Visualization'],[],"Pro293,Pro161,Pro253,Serv328","OPR045,OPR030,OPR112,OPR086,OPR091",Completed,2024-04-05 22:02:17,2023-12-16 08:37:31,2024-08-17 14:09:38
U008Y,2868,Trade continue network technology discover morning.,nacb/profile/stephanie03,Male,https://placekitten.com/282/682,1961-11-30,"['55.65197440', '21.37439560']","Lithuania, Klaipėda County",https://www.booker.com/,https://www.jones-hernandez.com/,http://gaines-morrison.org/,370,9386303419,Retail Food and Beverage Services,Risk Management Specialist,"['Geology', 'Economics', 'Real Estate']","['Cannabis Education', 'Cannabis Supply Chain Management']",MS in Music,Legal Affairs,True,[],['Start-Up Advisor'],"Pro079,Serv290,Serv372,Pro123,Pro269","OPR032,OPR002,OPR109",In Progress,2024-06-15 09:15:03,2020-07-19 02:07:53,2021-07-29 20:25:25
U009T,1871,Peace course north concern medical animal.,nacb/profile/jennifer16,Female,https://dummyimage.com/90x184,1996-05-04,"['-36.72257430', '-71.76224810']","Chile, Ñuble",http://roth.org/,http://www.mullins-smith.net/,http://price-mcdonald.net/,56,9680134791,Internet Marketplace Platforms,Security Officer,"['Theater Arts', 'Space Science']","['Cannabis Branding', 'Cannabis Waste Management', 'Cannabis Health Benefits', 'Cannabis Policy', 'Cannabis Startups', 'Cannabis Pest Management', 'Cannabis Research and Development', 'Cannabis Franchise Opportunities', 'Cannabis Soil and Nutrients']",MS in Physics,Brand Development,True,"['Exceptional Data Analytics for Marketing', 'Outstanding User Profiling Achievement', 'Exceptional Data Processing Efficiency']","['Organizational Development Consultant', 'Budtender', 'Delivery Specialist']",Pro357,"OPR004,OPR042,OPR048,OPR031",Completed,2024-07-19 12:51:54,2020-05-05 06:21:59,2021-03-09 03:11:59
U010L,1724,Act support form kid everything technology heavy particular.,nacb/profile/ikim,Female,https://dummyimage.com/543x722,1970-04-24,"['-41.59168830', '173.76240530']","New Zealand, Marlborough Region",https://www.gonzalez-lucero.info/,https://www.walsh-smith.com/,https://mitchell-jones.com/,64,7521324000,Trusts and Estates,Customer Service Representative,"['Industrial Engineering', 'Wildlife Biology']","['Cannabis Distribution Networks', 'Cannabis Cultivation', 'Cannabis Security and Safety', 'Cannabis Sustainability', 'Cannabis Investment', 'Cannabis Market Analysis', 'Cannabis Supply Chain Management', 'Cannabis Diversity and Inclusion', 'Cannabis Cultivation', 'Cannabis Supply Chain Innovations']",BS in Film Studies,Legal Support,False,['Innovation in Real-time Data Solutions'],[],"Serv132,Pro011,Serv344,Pro033","OPR045,OPR033,OPR029,OPR066",Completed,2024-05-21 13:25:41,2023-07-18 23:19:59,2024-09-07 02:41:02
